sIP, dIP, sPort, dPort, Proto, Packets, Bytes, Flags, Duration
3232249957,3232249958,37334,443,6,18,4518,30,13.907
3232249958,3232249957,443,37334,6,11,9654,27,13.906
3232249957,3232249958,37340,443,6,7,919,27,0.006
3232249958,3232249957,443,37340,6,4,1766,27,0.006
3232249957,3232249958,37342,443,6,6,867,27,0.004
3232249958,3232249957,443,37342,6,5,1818,27,0.004
3232249957,3232249958,37346,443,6,7,966,27,0.011
3232249958,3232249957,443,37346,6,4,456,27,0.011
3232249957,3232249958,37348,443,6,7,966,27,0.004
3232249958,3232249957,443,37348,6,4,456,27,0.004
3232249957,3232249958,37350,443,6,7,919,27,0.006
3232249958,3232249957,443,37350,6,4,1766,27,0.006
3232249957,3232249958,37352,443,6,7,919,27,0.005
3232249958,3232249957,443,37352,6,4,1766,27,0.005
3232249957,3232249958,37354,443,6,7,919,27,0.005
3232249958,3232249957,443,37354,6,4,1766,27,0.005
3232249957,3232249958,37356,443,6,7,919,27,0.005
3232249958,3232249957,443,37356,6,4,1766,27,0.005
3232249957,3232249958,37358,443,6,7,919,27,0.004
3232249958,3232249957,443,37358,6,4,1766,27,0.004
3232249957,3232249958,37360,443,6,7,919,27,0.005
3232249958,3232249957,443,37360,6,4,1766,27,0.005
3232249857,4026531834,55406,1900,17,4,808,0,3.003
3232249957,4026531834,48260,1900,17,4,776,0,3.007
3232249957,3232249958,37344,443,6,32,10705,30,27.843
3232249958,3232249957,443,37344,6,18,26292,27,27.843
3232249957,3232249958,37362,443,6,6,867,27,0.004
3232249958,3232249957,443,37362,6,5,1818,27,0.004
3232249957,3232249958,37364,443,6,7,919,27,0.004
3232249958,3232249957,443,37364,6,4,1766,27,0.004
3232249957,3232249958,37368,443,6,7,966,27,0.015
3232249958,3232249957,443,37368,6,4,456,27,0.015
3232249957,3232249958,37370,443,6,7,966,27,0.006
3232249958,3232249957,443,37370,6,4,456,27,0.006
3232249957,3232249958,37372,443,6,7,919,27,0.005
3232249958,3232249957,443,37372,6,4,1766,27,0.005
3232249957,3232249958,37374,443,6,7,919,27,0.007
3232249958,3232249957,443,37374,6,4,1766,27,0.007
3232249957,3232249958,37376,443,6,6,867,27,0.010
3232249958,3232249957,443,37376,6,5,1818,27,0.009
3232249957,3232249958,37366,443,6,26,7921,30,24.781
3232249958,3232249957,443,37366,6,15,16926,27,24.781
3232249857,3758096636,54920,5355,17,2,100,0,0.410
3232249857,3758096636,59970,5355,17,2,100,0,0.410
3232249957,3232249958,37378,443,6,6,867,27,0.006
3232249958,3232249957,443,37378,6,5,1818,27,0.006
3232249957,3232249958,37380,443,6,6,867,27,0.004
3232249958,3232249957,443,37380,6,5,1818,27,0.004
3232249957,3232249958,37384,443,6,7,966,27,0.003
3232249958,3232249957,443,37384,6,4,456,27,0.003
3232249957,3232249958,37386,443,6,7,966,27,0.003
3232249958,3232249957,443,37386,6,4,456,27,0.003
3232249857,3758096636,63501,5355,17,2,100,0,0.411
3232249857,3758096636,64077,5355,17,2,100,0,0.410
3232249957,3232249958,37388,443,6,7,919,27,0.005
3232249958,3232249957,443,37388,6,4,1766,27,0.005
3232249957,3232249958,37390,443,6,7,919,27,0.006
3232249958,3232249957,443,37390,6,4,1766,27,0.006
3232249957,3232249958,37392,443,6,7,919,27,0.004
3232249958,3232249957,443,37392,6,4,1766,27,0.004
3232249957,3232249958,37394,443,6,7,919,27,0.006
3232249958,3232249957,443,37394,6,4,1766,27,0.006
3232249957,3232249958,37396,443,6,6,867,27,0.006
3232249958,3232249957,443,37396,6,5,1818,27,0.006
3232249957,3232249958,37398,443,6,7,919,27,0.007
3232249958,3232249957,443,37398,6,4,1766,27,0.007
3232249957,3232249958,37382,443,6,32,10901,30,22.258
3232249958,3232249957,443,37382,6,18,29244,27,22.258
3232249957,3232249958,37400,443,6,7,919,27,0.004
3232249958,3232249957,443,37400,6,4,1766,27,0.004
3232249957,3232249958,37402,443,6,7,919,27,0.007
3232249958,3232249957,443,37402,6,4,1766,27,0.007
3232249857,3758096636,56949,5355,17,2,100,0,0.410
3232249857,3758096636,50330,5355,17,2,100,0,0.411
3232249957,3232249958,37404,443,6,6,867,27,0.011
3232249958,3232249957,443,37404,6,5,1818,27,0.011
3232249957,3232249958,37408,443,6,7,966,27,0.005
3232249958,3232249957,443,37408,6,4,456,27,0.005
3232249957,3232249958,37410,443,6,7,966,27,0.004
3232249958,3232249957,443,37410,6,4,456,27,0.004
3232249957,3232249958,37412,443,6,7,919,27,0.007
3232249958,3232249957,443,37412,6,4,1766,27,0.007
3232249957,3232249958,37414,443,6,7,919,27,0.008
3232249958,3232249957,443,37414,6,4,1766,27,0.008
3232249957,3232249958,37416,443,6,7,919,27,0.004
3232249958,3232249957,443,37416,6,4,1766,27,0.004
3232249957,3232249958,37418,443,6,7,919,27,0.006
3232249958,3232249957,443,37418,6,4,1766,27,0.006
3232249957,3232249958,37420,443,6,6,867,27,0.085
3232249958,3232249957,443,37420,6,6,1870,27,0.085
3232249957,3232249958,37422,443,6,7,919,27,0.005
3232249958,3232249957,443,37422,6,4,1766,27,0.005
3232249957,3232249958,37424,443,6,7,919,27,0.010
3232249958,3232249957,443,37424,6,4,1766,27,0.010
3232249957,3232249958,37426,443,6,7,919,27,0.005
3232249958,3232249957,443,37426,6,4,1766,27,0.005
3232249957,3232249958,37428,443,6,7,919,27,0.004
3232249958,3232249957,443,37428,6,4,1766,27,0.004
3232249957,3232249958,37406,443,6,41,14152,30,23.453
3232249958,3232249957,443,37406,6,23,33766,27,23.453
3232249957,3232249958,37430,443,6,6,867,27,0.007
3232249958,3232249957,443,37430,6,5,1818,27,0.007
3232249957,3232249958,37432,443,6,7,919,27,0.007
3232249958,3232249957,443,37432,6,4,1766,27,0.007
3232249957,3232249958,37436,443,6,7,966,27,0.006
3232249958,3232249957,443,37436,6,4,456,27,0.006
3232249957,3232249958,37438,443,6,6,914,27,0.005
3232249958,3232249957,443,37438,6,5,508,27,0.005
3232249957,3232249958,37440,443,6,7,919,27,0.005
3232249958,3232249957,443,37440,6,4,1766,27,0.005
3232249957,3232249958,37442,443,6,7,919,27,0.007
3232249958,3232249957,443,37442,6,4,1766,27,0.007
3232249957,3232249958,37444,443,6,6,867,27,0.003
3232249958,3232249957,443,37444,6,5,1818,27,0.003
3232249957,3232249958,37446,443,6,7,919,27,0.007
3232249958,3232249957,443,37446,6,4,1766,27,0.007
3232249957,3232249958,37448,443,6,7,919,27,0.006
3232249958,3232249957,443,37448,6,4,1766,27,0.006
3232249957,3232249958,37450,443,6,7,919,27,0.006
3232249958,3232249957,443,37450,6,4,1766,27,0.006
3232249957,3232249958,37452,443,6,7,919,27,0.005
3232249958,3232249957,443,37452,6,4,1766,27,0.005
3232249957,3232249958,37454,443,6,6,867,27,0.003
3232249958,3232249957,443,37454,6,5,1818,27,0.003
3232249957,3232249958,37456,443,6,6,867,27,0.006
3232249958,3232249957,443,37456,6,5,1818,27,0.006
3232249957,3232249958,37434,443,6,38,13384,30,23.713
3232249958,3232249957,443,37434,6,21,32826,27,23.713
3232249957,3232249958,37458,443,6,6,867,27,0.005
3232249958,3232249957,443,37458,6,5,1818,27,0.005
3232249957,3232249958,37460,443,6,7,919,27,0.004
3232249958,3232249957,443,37460,6,4,1766,27,0.004
3232249957,3232249958,37464,443,6,7,966,27,0.003
3232249958,3232249957,443,37464,6,4,456,27,0.003
3232249957,3232249958,37466,443,6,6,914,27,0.005
3232249958,3232249957,443,37466,6,5,508,27,0.005
3232249957,3232249958,37468,443,6,7,919,27,0.006
3232249958,3232249957,443,37468,6,4,1766,27,0.006
3232249957,3232249958,37470,443,6,6,867,27,0.009
3232249958,3232249957,443,37470,6,5,1818,27,0.009
3232249957,3232249958,37472,443,6,7,919,27,0.003
3232249958,3232249957,443,37472,6,4,1766,27,0.003
3232249857,4026531834,55184,1900,17,4,808,0,3.001
3232249857,3758096636,50437,5355,17,2,100,0,0.410
3232249857,3758096636,64067,5355,17,2,100,0,0.412
3232249857,3758096635,5353,5353,17,32,1792,0,85.866
3232249857,3232250111,137,137,17,12,936,0,86.345
3232249957,3232249958,37462,443,6,24,7345,30,11.997
3232249958,3232249957,443,37462,6,14,19125,27,11.997
3232249957,3232249958,37474,443,6,7,919,27,0.007
3232249958,3232249957,443,37474,6,4,1766,27,0.007
3232249957,3232249958,37476,443,6,6,867,27,0.007
3232249958,3232249957,443,37476,6,5,1818,27,0.007
3232249957,3232249958,37480,443,6,7,966,27,0.005
3232249958,3232249957,443,37480,6,4,456,27,0.005
3232249957,3232249958,37482,443,6,7,966,27,0.003
3232249958,3232249957,443,37482,6,4,456,27,0.003
3232249957,3232249958,37478,443,6,18,4584,30,27.890
3232249958,3232249957,443,37478,6,11,9654,27,27.890
3232249957,3232249958,37484,443,6,7,919,27,0.011
3232249958,3232249957,443,37484,6,4,1766,27,0.011
3232249957,3232249958,37486,443,6,6,867,27,0.010
3232249958,3232249957,443,37486,6,5,1818,27,0.010
3232249957,4026531834,59363,1900,17,4,776,0,3.009
3232249957,3758096406,0,0,2,6,240,0,139.988
3232249957,3232249958,37192,443,6,1,52,16,0.000
3232249957,3758096635,5353,5353,17,6,408,0,142.149
3232249957,3232249958,37490,443,6,7,966,27,0.006
3232249958,3232249957,443,37490,6,4,456,27,0.006
3232249957,3232249958,37492,443,6,7,966,27,0.003
3232249958,3232249957,443,37492,6,4,456,27,0.003
3232249957,3232249958,37488,443,6,18,4654,30,15.724
3232249958,3232249957,443,37488,6,11,12666,27,15.724
3232249957,3232249958,37494,443,6,6,867,27,0.006
3232249958,3232249957,443,37494,6,5,1818,27,0.006
3232249957,3232249958,37496,443,6,7,919,27,0.004
3232249958,3232249957,443,37496,6,4,1766,27,0.003
3232249957,3232249958,37200,443,6,1,52,16,0.000
3232249957,3232249958,37212,443,6,1,52,16,0.000
3232249957,3232249958,37500,443,6,6,914,27,0.012
3232249958,3232249957,443,37500,6,5,508,27,0.012
3232249957,3232249958,37502,443,6,7,966,27,0.007
3232249958,3232249957,443,37502,6,4,456,27,0.007
3232249957,3232249958,37504,443,6,7,919,27,0.005
3232249958,3232249957,443,37504,6,4,1766,27,0.005
3232249957,3232249958,37506,443,6,7,919,27,0.004
3232249958,3232249957,443,37506,6,4,1766,27,0.004
3232249957,3232249958,37508,443,6,7,919,27,0.006
3232249958,3232249957,443,37508,6,4,1766,27,0.006
3232249957,3232249958,37510,443,6,7,919,27,0.006
3232249958,3232249957,443,37510,6,4,1766,27,0.005
3232249957,3232249958,37512,443,6,6,867,27,0.005
3232249958,3232249957,443,37512,6,5,1818,27,0.005
3232249957,3232249958,37514,443,6,7,919,27,0.004
3232249958,3232249957,443,37514,6,4,1766,27,0.004
3232249957,3232249958,37236,443,6,1,52,16,0.000
3232249957,3232249958,37516,443,6,7,919,27,0.006
3232249958,3232249957,443,37516,6,4,1766,27,0.006
3232249957,3232249958,37518,443,6,7,919,27,0.004
3232249958,3232249957,443,37518,6,4,1766,27,0.004
3232249957,3232249958,37520,443,6,7,919,27,0.027
3232249958,3232249957,443,37520,6,4,1766,27,0.027
3232249957,3232249958,37498,443,6,40,14153,30,30.435
3232249958,3232249957,443,37498,6,22,33576,27,30.435
3232249957,3232249958,37522,443,6,7,919,27,0.007
3232249958,3232249957,443,37522,6,4,1766,27,0.007
3232249957,3232249958,37524,443,6,6,867,27,0.005
3232249958,3232249957,443,37524,6,5,1818,27,0.005
3232249957,3232249958,37528,443,6,7,966,27,0.004
3232249958,3232249957,443,37528,6,4,456,27,0.003
3232249957,3232249958,37530,443,6,7,966,27,0.008
3232249958,3232249957,443,37530,6,4,456,27,0.008
3232249957,3232249958,37532,443,6,7,919,27,0.007
3232249958,3232249957,443,37532,6,4,1766,27,0.007
3232249957,3232249958,37534,443,6,7,919,27,0.006
3232249958,3232249957,443,37534,6,4,1766,27,0.006
3232249957,3232249958,37536,443,6,7,919,27,0.004
3232249958,3232249957,443,37536,6,4,1766,27,0.004
3232249957,3232249958,37538,443,6,7,919,27,0.005
3232249958,3232249957,443,37538,6,4,1766,27,0.005
3232249957,3232249958,37540,443,6,7,919,27,0.004
3232249958,3232249957,443,37540,6,4,1766,27,0.004
3232249957,3232249958,37256,443,6,1,52,16,0.000
3232249957,3232249958,37542,443,6,7,919,27,0.007
