id;sIP; dIP; sPort; dPort; Proto; Packets; Bytes; Flags; Duration
1;3232249957;3232249958;37752;443;6;1;52;16;0
1;3232249957;3232249958;37762;443;6;1;52;16;0
1;3232249957;3232249958;37768;443;6;1;52;16;0
1;3232249957;3232249958;37776;443;6;1;52;16;0
1;3232249957;3232249958;37800;443;6;1;52;16;0
1;3232249957;3232249958;37828;443;6;1;52;16;0
1;3232249957;3232249958;37836;443;6;1;52;16;0
1;3232249957;3232249958;37850;443;6;1;52;16;0
1;3232249957;3232249958;37866;443;6;1;52;16;0
1;3232249957;3232249958;37918;443;6;1;52;16;0
1;3232249957;3232249958;37920;443;6;1;52;16;0
1;3232249957;3232249958;37942;443;6;1;52;16;0
1;3232249957;3232249958;37952;443;6;1;52;16;0
1;3232249957;3232249958;37962;443;6;1;52;16;0
1;3232249957;3232249958;37976;443;6;1;52;16;0
1;3232249957;3232249958;38060;443;6;1;52;16;0
1;3232249957;3232249958;38072;443;6;1;52;16;0
1;3232249957;3232249958;38090;443;6;1;52;16;0
1;3232249957;3232249958;38102;443;6;1;52;16;0
1;3232249957;3232249958;38140;443;6;1;52;16;0
1;3232249957;3232249958;38148;443;6;1;52;16;0
1;3232249957;3232249958;38150;443;6;1;52;16;0
1;3232249957;3232249958;38168;443;6;1;52;16;0
1;3232249957;3232249958;38170;443;6;1;52;16;0
1;3232249957;3232249958;38174;443;6;1;52;16;0
1;3232249957;3232249958;38180;443;6;1;52;16;0
1;3232249957;3232249958;38184;443;6;1;52;16;0
1;3232249957;3232249958;38192;443;6;1;52;16;0
1;3232249957;3232249958;38202;443;6;1;52;16;0
1;3232249957;3232249958;38204;443;6;1;52;16;0
1;3232249957;3232249958;38208;443;6;1;52;16;0
1;3232249957;3232249958;38212;443;6;1;52;16;0
1;3232249957;3232249958;38216;443;6;1;52;16;0
1;3232249957;3232249958;38228;443;6;1;52;16;0
1;3232249957;3232249958;38240;443;6;1;52;16;0
1;3232249957;3232249958;38250;443;6;1;52;16;0
1;3232249957;3232249958;38254;443;6;1;52;16;0
1;3232249957;3232249958;38258;443;6;1;52;16;0
1;3232249957;3232249958;38260;443;6;1;52;16;0
1;3232249957;3232249958;38274;443;6;1;52;16;0
1;3232249957;3232249958;38280;443;6;1;52;16;0
1;3232249957;3232249958;38298;443;6;1;52;16;0
1;3232249957;3232249958;38300;443;6;1;52;16;0
1;3232249957;3232249958;38310;443;6;1;52;16;0
1;3232249957;3232249958;38314;443;6;1;52;16;0
1;3232249957;3232249958;38316;443;6;1;52;16;0
1;3232249957;3232249958;38326;443;6;1;52;16;0
1;3232249857;3232250111;138;138;17;1;229;0;0
1;3232249957;3232249958;38332;443;6;1;52;16;0
1;3232249957;3232249958;38358;443;6;1;52;16;0
1;3232249957;3232249958;38368;443;6;1;52;16;0
1;3232249957;3232249958;38384;443;6;1;52;16;0
1;3232249957;3232249958;38402;443;6;1;52;16;0
1;3232249957;3232249958;38414;443;6;1;52;16;0
1;3232249957;3232249958;38418;443;6;1;52;16;0
1;3232249957;3232249958;38440;443;6;1;52;16;0
1;3232249957;3232249958;38442;443;6;1;52;16;0
1;3232249957;3232249958;38450;443;6;1;52;16;0
1;3232249957;3232249958;38462;443;6;1;52;16;0
1;3232249957;3232249958;38470;443;6;1;52;16;0
1;3232249957;3232249958;38482;443;6;1;52;16;0
1;3232249957;3232249958;38488;443;6;1;52;16;0
1;3232249957;3232249958;38508;443;6;1;52;16;0
1;3232249957;3232249958;38514;443;6;1;52;16;0
1;3232249957;3232249958;38540;443;6;1;52;16;0
1;3232249957;3232249958;38552;443;6;1;52;16;0
1;3232249957;3232249958;38576;443;6;1;52;16;0
1;3232249957;3232249958;38636;443;6;1;52;16;0
1;3232249957;3232249958;38644;443;6;1;52;16;0
