id,sIP, dIP, sPort, dPort, Proto, Packets, Bytes, Flags, Duration
1,3232249958,3232249957,443,37276,6,11,9654,27,9.955
1,3232249957,3232249958,37282,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37282,6,4,1766,27,0.005
1,3232249957,3232249958,37284,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37284,6,4,1766,27,0.003
1,3232249957,3232249958,37288,443,6,7,966,27,0.010
1,3232249958,3232249957,443,37288,6,5,508,27,0.010
1,3232249957,3232249958,37290,443,6,7,966,27,0.004
1,3232249958,3232249957,443,37290,6,4,456,27,0.004
1,3232249957,3232249958,37286,443,6,18,4512,30,7.841
1,3232249958,3232249957,443,37286,6,11,9681,27,7.841
1,3232249957,3232249958,37294,443,6,6,867,27,0.007
1,3232249958,3232249957,443,37294,6,5,1818,27,0.007
1,3232249957,3232249958,37292,443,6,6,867,27,0.009
1,3232249958,3232249957,443,37292,6,5,1818,27,0.009
1,3232249957,3232249958,37298,443,6,7,966,27,0.005
1,3232249958,3232249957,443,37298,6,4,456,27,0.005
1,3232249957,3232249958,37300,443,6,6,914,27,0.003
1,3232249958,3232249957,443,37300,6,5,508,27,0.003
1,3232249957,3232249958,37302,443,6,6,867,27,0.007
1,3232249958,3232249957,443,37302,6,5,1818,27,0.007
1,3232249957,3232249958,37304,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37304,6,4,1766,27,0.005
1,3232249957,3232249958,37306,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37306,6,4,1766,27,0.005
1,3232249957,3232249958,37308,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37308,6,4,1766,27,0.007
1,3232249957,3232249958,37310,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37310,6,4,1766,27,0.004
1,3232249957,3232249958,37312,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37312,6,4,1766,27,0.004
1,3232249957,3232249958,37296,443,6,32,10712,30,17.939
1,3232249958,3232249957,443,37296,6,18,26320,27,17.939
1,3232249957,3232249958,37314,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37314,6,4,1766,27,0.007
1,3232249957,3232249958,37316,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37316,6,4,1766,27,0.005
1,3232249957,3232249958,37320,443,6,7,966,27,0.004
1,3232249958,3232249957,443,37320,6,4,456,27,0.004
1,3232249957,3232249958,37322,443,6,7,966,27,0.006
1,3232249958,3232249957,443,37322,6,4,456,27,0.006
1,3232249957,3232249958,37324,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37324,6,4,1766,27,0.004
1,3232249957,3232249958,37326,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37326,6,4,1766,27,0.006
1,3232249957,3232249958,37328,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37328,6,4,1766,27,0.004
1,3232249957,3232249958,37318,443,6,24,7327,30,16.986
1,3232249958,3232249957,443,37318,6,14,19085,27,16.986
1,3232249957,3232249958,37332,443,6,6,867,27,0.009
1,3232249958,3232249957,443,37332,6,5,1818,27,0.009
1,3232249957,3232249958,37330,443,6,7,919,27,0.013
1,3232249958,3232249957,443,37330,6,4,1766,27,0.013
1,3232249957,3232249958,37336,443,6,7,966,27,0.003
1,3232249958,3232249957,443,37336,6,4,456,27,0.003
1,3232249957,3232249958,37338,443,6,7,966,27,0.004
1,3232249958,3232249957,443,37338,6,4,456,27,0.004
1,3232249957,3232249958,37334,443,6,18,4518,30,13.907
1,3232249958,3232249957,443,37334,6,11,9654,27,13.906
1,3232249957,3232249958,37340,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37340,6,4,1766,27,0.006
1,3232249957,3232249958,37342,443,6,6,867,27,0.004
1,3232249958,3232249957,443,37342,6,5,1818,27,0.004
1,3232249957,3232249958,37346,443,6,7,966,27,0.011
1,3232249958,3232249957,443,37346,6,4,456,27,0.011
1,3232249957,3232249958,37348,443,6,7,966,27,0.004
1,3232249958,3232249957,443,37348,6,4,456,27,0.004
1,3232249957,3232249958,37350,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37350,6,4,1766,27,0.006
1,3232249957,3232249958,37352,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37352,6,4,1766,27,0.005
1,3232249957,3232249958,37354,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37354,6,4,1766,27,0.005
1,3232249957,3232249958,37356,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37356,6,4,1766,27,0.005
1,3232249957,3232249958,37358,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37358,6,4,1766,27,0.004
1,3232249957,3232249958,37360,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37360,6,4,1766,27,0.005
1,3232249857,4026531834,55406,1900,17,4,808,0,3.003
1,3232249957,4026531834,48260,1900,17,4,776,0,3.007
1,3232249957,3232249958,37344,443,6,32,10705,30,27.843
1,3232249958,3232249957,443,37344,6,18,26292,27,27.843
1,3232249957,3232249958,37362,443,6,6,867,27,0.004
1,3232249958,3232249957,443,37362,6,5,1818,27,0.004
1,3232249957,3232249958,37364,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37364,6,4,1766,27,0.004
1,3232249957,3232249958,37368,443,6,7,966,27,0.015
1,3232249958,3232249957,443,37368,6,4,456,27,0.015
1,3232249957,3232249958,37370,443,6,7,966,27,0.006
1,3232249958,3232249957,443,37370,6,4,456,27,0.006
1,3232249957,3232249958,37372,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37372,6,4,1766,27,0.005
1,3232249957,3232249958,37374,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37374,6,4,1766,27,0.007
1,3232249957,3232249958,37376,443,6,6,867,27,0.010
1,3232249958,3232249957,443,37376,6,5,1818,27,0.009
1,3232249957,3232249958,37366,443,6,26,7921,30,24.781
1,3232249958,3232249957,443,37366,6,15,16926,27,24.781
1,3232249857,3758096636,54920,5355,17,2,100,0,0.410
1,3232249857,3758096636,59970,5355,17,2,100,0,0.410
1,3232249957,3232249958,37378,443,6,6,867,27,0.006
1,3232249958,3232249957,443,37378,6,5,1818,27,0.006
1,3232249957,3232249958,37380,443,6,6,867,27,0.004
1,3232249958,3232249957,443,37380,6,5,1818,27,0.004
1,3232249957,3232249958,37384,443,6,7,966,27,0.003
1,3232249958,3232249957,443,37384,6,4,456,27,0.003
1,3232249957,3232249958,37386,443,6,7,966,27,0.003
1,3232249958,3232249957,443,37386,6,4,456,27,0.003
1,3232249857,3758096636,63501,5355,17,2,100,0,0.411
1,3232249857,3758096636,64077,5355,17,2,100,0,0.410
1,3232249957,3232249958,37388,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37388,6,4,1766,27,0.005
1,3232249957,3232249958,37390,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37390,6,4,1766,27,0.006
1,3232249957,3232249958,37392,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37392,6,4,1766,27,0.004
1,3232249957,3232249958,37394,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37394,6,4,1766,27,0.006
1,3232249957,3232249958,37396,443,6,6,867,27,0.006
1,3232249958,3232249957,443,37396,6,5,1818,27,0.006
1,3232249957,3232249958,37398,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37398,6,4,1766,27,0.007
1,3232249957,3232249958,37382,443,6,32,10901,30,22.258
1,3232249958,3232249957,443,37382,6,18,29244,27,22.258
1,3232249957,3232249958,37400,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37400,6,4,1766,27,0.004
1,3232249957,3232249958,37402,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37402,6,4,1766,27,0.007
1,3232249857,3758096636,56949,5355,17,2,100,0,0.410
1,3232249857,3758096636,50330,5355,17,2,100,0,0.411
1,3232249957,3232249958,37404,443,6,6,867,27,0.011
1,3232249958,3232249957,443,37404,6,5,1818,27,0.011
1,3232249957,3232249958,37408,443,6,7,966,27,0.005
1,3232249958,3232249957,443,37408,6,4,456,27,0.005
1,3232249957,3232249958,37410,443,6,7,966,27,0.004
1,3232249958,3232249957,443,37410,6,4,456,27,0.004
1,3232249957,3232249958,37412,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37412,6,4,1766,27,0.007
1,3232249957,3232249958,37414,443,6,7,919,27,0.008
1,3232249958,3232249957,443,37414,6,4,1766,27,0.008
1,3232249957,3232249958,37416,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37416,6,4,1766,27,0.004
1,3232249957,3232249958,37418,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37418,6,4,1766,27,0.006
1,3232249957,3232249958,37420,443,6,6,867,27,0.085
1,3232249958,3232249957,443,37420,6,6,1870,27,0.085
1,3232249957,3232249958,37422,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37422,6,4,1766,27,0.005
1,3232249957,3232249958,37424,443,6,7,919,27,0.010
1,3232249958,3232249957,443,37424,6,4,1766,27,0.010
1,3232249957,3232249958,37426,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37426,6,4,1766,27,0.005
1,3232249957,3232249958,37428,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37428,6,4,1766,27,0.004
1,3232249957,3232249958,37406,443,6,41,14152,30,23.453
1,3232249958,3232249957,443,37406,6,23,33766,27,23.453
1,3232249957,3232249958,37430,443,6,6,867,27,0.007
1,3232249958,3232249957,443,37430,6,5,1818,27,0.007
1,3232249957,3232249958,37432,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37432,6,4,1766,27,0.007
1,3232249957,3232249958,37436,443,6,7,966,27,0.006
1,3232249958,3232249957,443,37436,6,4,456,27,0.006
1,3232249957,3232249958,37438,443,6,6,914,27,0.005
1,3232249958,3232249957,443,37438,6,5,508,27,0.005
1,3232249957,3232249958,37440,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37440,6,4,1766,27,0.005
1,3232249957,3232249958,37442,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37442,6,4,1766,27,0.007
1,3232249957,3232249958,37444,443,6,6,867,27,0.003
1,3232249958,3232249957,443,37444,6,5,1818,27,0.003
1,3232249957,3232249958,37446,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37446,6,4,1766,27,0.007
1,3232249957,3232249958,37448,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37448,6,4,1766,27,0.006
1,3232249957,3232249958,37450,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37450,6,4,1766,27,0.006
1,3232249957,3232249958,37452,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37452,6,4,1766,27,0.005
1,3232249957,3232249958,37454,443,6,6,867,27,0.003
1,3232249958,3232249957,443,37454,6,5,1818,27,0.003
1,3232249957,3232249958,37456,443,6,6,867,27,0.006
1,3232249958,3232249957,443,37456,6,5,1818,27,0.006
1,3232249957,3232249958,37434,443,6,38,13384,30,23.713
1,3232249958,3232249957,443,37434,6,21,32826,27,23.713
1,3232249957,3232249958,37458,443,6,6,867,27,0.005
1,3232249958,3232249957,443,37458,6,5,1818,27,0.005
1,3232249957,3232249958,37460,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37460,6,4,1766,27,0.004
1,3232249957,3232249958,37464,443,6,7,966,27,0.003
1,3232249958,3232249957,443,37464,6,4,456,27,0.003
1,3232249957,3232249958,37466,443,6,6,914,27,0.005
1,3232249958,3232249957,443,37466,6,5,508,27,0.005
1,3232249957,3232249958,37468,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37468,6,4,1766,27,0.006
1,3232249957,3232249958,37470,443,6,6,867,27,0.009
1,3232249958,3232249957,443,37470,6,5,1818,27,0.009
1,3232249957,3232249958,37472,443,6,7,919,27,0.003
1,3232249958,3232249957,443,37472,6,4,1766,27,0.003
1,3232249857,4026531834,55184,1900,17,4,808,0,3.001
1,3232249857,3758096636,50437,5355,17,2,100,0,0.410
